ID,Name,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,DateTime
EP012004,             AGATHA,  , TD,14.7,-107.6,25,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-22 00:00:00
EP012004,             AGATHA,  , TD,15.4,-108.5,30,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-22 06:00:00
EP012004,             AGATHA,  , TS,16.0,-109.1,35,1005.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-22 12:00:00
EP012004,             AGATHA,  , TS,16.6,-109.6,45,1000.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-22 18:00:00
EP012004,             AGATHA,  , TS,17.1,-109.9,50,997.0,75.0,75.0,75.0,75.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,2004-05-23 00:00:00
EP012004,             AGATHA,  , TS,17.5,-110.1,45,1000.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-23 06:00:00
EP012004,             AGATHA,  , TS,17.9,-110.3,40,1002.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-23 12:00:00
EP012004,             AGATHA,  , TS,18.2,-110.5,35,1002.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-23 18:00:00
EP012004,             AGATHA,  , TD,18.5,-110.7,30,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-24 00:00:00
EP012004,             AGATHA,  , TD,18.7,-110.8,25,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-24 06:00:00
EP012004,             AGATHA,  , LO,18.9,-110.9,25,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-24 12:00:00
EP012004,             AGATHA,  , LO,18.8,-111.0,25,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-24 18:00:00
EP012004,             AGATHA,  , LO,18.8,-110.7,25,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-25 00:00:00
EP012004,             AGATHA,  , LO,18.6,-110.2,25,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-25 06:00:00
EP012004,             AGATHA,  , LO,18.5,-110.0,20,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-25 12:00:00
EP012004,             AGATHA,  , LO,18.4,-110.1,15,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-25 18:00:00
EP012004,             AGATHA,  , LO,18.7,-110.4,15,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-05-26 00:00:00
EP022004,            UNNAMED,  , TD,16.2,-119.2,25,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-07-02 12:00:00
EP022004,            UNNAMED,  , TD,16.6,-119.9,25,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-07-02 18:00:00
EP022004,            UNNAMED,  , TD,17.1,-120.8,30,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-07-03 00:00:00
EP022004,            UNNAMED,  , TD,17.4,-121.9,30,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-07-03 06:00:00
EP022004,            UNNAMED,  , TD,17.6,-123.0,30,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-07-03 12:00:00
EP022004,            UNNAMED,  , TD,17.6,-124.1,25,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-07-03 18:00:00
EP022004,            UNNAMED,  , LO,17.5,-125.0,20,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-07-04 00:00:00
